Address,Area,Longitude,Latitude,Living area (m2),Rooms,Floor,Rent,Sold date,Listed price,Sold for (SEK),LongitudeXLatitude
Hovstagränd 9,Ängssätra,18.01898766,59.26610565,104,5,2,6975,2017-10-13,2695000,3000000,1067.91522636361
Sköndalsvägen 110,Sköndal,18.11785081,59.25273657,42.5,2,6,2242,2017-10-13,1795000,2200000,1073.53224125949
Körsbärsvägen 6,Östermalm,18.06521,59.34898,24,1,1,1959,2017-10-13,2195000,2550000,1072.1517869858
Bällstavägen 62,Bromma,17.94642448,59.36116813,69,2,1,4341,2017-10-13,2995000,3250000,1065.32072088963
Karlsbodavägen 40,Bromma Mariehäll,17.96221733,59.35825373,89,3,4,5545,2017-10-13,4795000,5025000,1066.20585382754
Johannesfredsvägen 38,Bromma,17.97305346,59.34648424,54,3,2,3614,2017-10-13,2950000,2950000,1066.63753390857
Hasselquistvägen 28,Hammarbyhöjden,18.10279727,59.29659912,55,2,3,3968,2017-10-13,3095000,3210000,1073.43431266982
Kallforsvägen 35,Bandhagen,18.04525,59.27229,68,3,1,3581,2017-10-13,2595000,3050000,1069.5832911225
Hjälmarsvägen 24A,Årsta,18.05332323,59.29821877,59,2,2,4195,2017-10-13,2495000,3000000,1070.52991041806
Brännkyrkagatan 88,Högalid,18.04897673,59.31806737,90,4,2,4634,2017-10-13,7450000,8300000,1070.6304176297
Lidnersgatan 8,Kungsholmen,18.00094781,59.33522844,48,2,5,3732,2017-10-13,3595000,4350000,1068.09035044287
Klippgatan 14I,Sofia,18.0881,59.3144,34.5,1,1,1835,2017-10-13,0,3550000,1072.88479864
Skarpnäcks Allé 9,Skarpnäck,18.1253,59.2693,77,3,0,4623,2017-10-13,2495000,2810000,1074.27384329
Lumaparksvägen 1,Hammarby Sjöstad,18.09437513,59.30474952,87,3,1,4893,2017-10-13,5600000,6185000,1073.08238480557
Valhallavägen 42,Östermalm,18.0638,59.3476,60,2,0,2696,2017-10-13,4595000,4790000,1072.04317688
Östhammarsgatan 75,Gärdet,18.11238695,59.34412482,40.1,1.5,3,2561,2017-10-13,2895000,3250000,1074.86375194894
Kaplansbacken 5,Kungsholmen,18.05009723,59.32953928,111,4,3,5063,2017-10-13,9200000,9150000,1070.9039526151
Bergsgatan 57,Kungsholmen,18.03579518,59.3308475,155,5,2,3874,2017-10-13,13950000,13600000,1070.07901336582
Rörstrandsgatan 23,Vasastan,18.03097795,59.34036221,84,2.5,5,3643,2017-10-13,6400000,6960000,1069.96476255352
Kammakargatan 14,Vasastan,18.06322156,59.3394899,70,2.5,2,2459,2017-10-13,5695000,5695000,1071.86235332108
Smedsbacksgatan 6,Gärdet,18.1006,59.347,62,3,0,3821,2017-10-13,3995000,4100000,1074.2163082
Hornsbergs Strand 49,Kungsholmen-Hornsbergs Strand,18.00779343,59.34047213,89,4,1,4232,2017-10-13,7500000,7500000,1068.59096415571
Rådmansgatan 78,Vasastan,18.05203915,59.3387706,54,2,3,1917,2017-10-13,4495000,4500000,1071.18580998407
Upplandsgatan 54C,Vasastan,18.04818753,59.34342206,55,2,4,2327,2017-10-13,4350000,4675000,1071.04121001082
Hundlokegränd 28,Hässelby,17.83915758,59.37385624,54,2,3,3343,2017-10-13,2250000,2250000,1059.17957759763
Farstavägen 110A,Farsta,18.08793783,59.24074266,158,6,4,10815,2017-10-13,2995000,3800000,1071.54287023711
Hässleholmsvägen 9,Björkhagen,18.11920166,59.29046312,54,2,5,2886,2017-10-13,2795000,3650000,1074.29585778607
Karlavägen 88A,Östermalm,18.09264166,59.33663932,87,3,0,2865,2017-10-13,8450000,8900000,1073.55655252543
Sankt Göransgatan 64B,Kungsholmen,18.03278208,59.33326612,24,1,4,1391,2017-10-13,1995000,2870000,1069.94385803661
Ullerudsbacken 79,Farsta Strand,18.09468217,59.23277026,82.4,3,1,3422,2017-10-13,2895000,3000000,1071.79815190333
Vanadisvägen 4M,Vasastan Odenplan,18.04987192,59.34877611,55,2,4,2082,2017-10-13,4700000,5150000,1071.23780739426
Norrtullsgatan 20,Vasastan,18.04665327,59.34750712,118,3,1.5,4144,2017-10-13,8995000,9100000,1071.0238834335
Döbelnsgatan 16C,Norrmalm,18.06236029,59.34081133,66,2,5,2640,2017-10-13,5950000,6300000,1071.83511414337
Hässleholmsvägen 7,Björkhagen,18.11997781,59.29030751,72,3,3,3636,2017-10-13,3850000,4353000,1074.33905642928
Svedalavägen 14,Hammarbyhöjden,18.10767408,59.2934441,91,3.5,2,5056,2017-10-13,5500000,6010000,1073.6663608435
Tomtebogatan 20,Vasastan,18.03250184,59.341482,98,3,5,3671,2017-10-13,8500000,9000000,1070.07538335333
Upplandsgatan 41,Vasastan,18.05005425,59.3409235,107,3,5,5424,2017-10-13,9995000,11650000,1071.1068884201
Kronobergsgatan 23A,Kungsholmen,18.03393392,59.33355531,103,6,1,3768,2017-10-13,9150000,9500000,1070.01741569921
Fastlagsvägen 59,Midsommarkransen,17.99332377,59.30312212,68,3,3,4806,2017-10-13,3795000,4000000,1067.06027687701
Broddgränd 31,Västertorp,17.96651828,59.28985508,75.5,3,1,3721,2017-10-13,3495000,3495000,1065.23226511337
Sköntorpsvägen 107,Årsta,18.0518,59.3006,67,3,3,3908,2017-10-13,3875000,4320000,1070.48257108
Wollmar Yxkullsgatan 52B,Södermalm,18.05243,59.31582,39,1.5,2,2171,2017-10-13,2995000,3820000,1070.7946884426
Kapellgränd 6,Södermalm,18.07389471,59.31625262,89,3,1,4034,2017-10-13,8950000,8200000,1072.07570444564
Störtloppsvägen 24,Hägersten,17.96769889,59.29320378,55,2,2,2713,2017-10-13,3500000,2895000,1065.36243174245
Fleminggatan 49,Kungsholmen,18.03835241,59.33352287,63,3,1,1991,2017-10-13,5350000,5150000,1070.27899525586
Bastuhagsvägen 57,Enskede,18.04864883,59.27543072,90,4,4,5034,2017-10-13,4200000,4760000,1069.84143331227
Skattungsvägen 14,Årsta,18.04024506,59.29727554,57,3,0,3241,2017-10-13,2350000,2505000,1069.73738213194
Elsa Borgs gata 62,Hägersten-Liljeholmen,17.96532869,59.28282992,57,2,1,3975,2017-10-13,2495000,2700000,1065.03552518617
Eriksdalsgatan 54,Katarina,18.07096481,59.3059763,52.5,2,3,3301,2017-10-13,3495000,3725000,1071.71621073999
Rörstrandsgatan 38A,Vasastan,18.02861928,59.34102822,32,1,1,1003,2017-10-13,2790000,3250000,1069.83680546212
Färgargårdstorget 68,Södermalm-Sofia,18.09424164,59.30830029,108.5,4,1,4654,2017-10-13,6950000,7100000,1073.13871670494
Simrishamnsvägen 5,Skarpnäcks stadsdelsområde,18.11999226,59.28896922,70,3,2,3104,2017-10-13,3750000,3800000,1074.31566336978
Glasmålarvägen 2,Enskede,18.08865531,59.28836394,35,2,3,2231,2017-10-13,1995000,2420000,1072.44677920449
Pär Lagerkvists gata 30,Kungsholmen-Hornsbergs Strand,18.00609109,59.33974831,74,3,5,3428,2017-10-13,5650000,6200000,1068.47691332753
Västertorpsvägen 138,Mälarhöjden-Västertorp,17.95211146,59.29074874,74,3,3,3819,2017-10-13,2995000,3450000,1064.39412992733
Observatoriegatan 21A,Vasastan,18.04859519,59.33962958,44.3,2,0,1446,2017-10-13,3750000,4200000,1070.99695301397
Midsommarvägen 48,Midsommarkransen,18.00772503,59.30062305,53,2,3,3842,2017-10-13,2750000,2750000,1067.86931399208
Doktor Widerströms gata 46,Fruängen,17.95674562,59.28578915,63,3,1,4132,2017-10-13,2595000,3020000,1064.57983464751
Slalomvägen 9,Västertorp,17.97401905,59.29140002,55,2,3,3059,2017-10-13,2295000,2550000,1065.70475346065
Fredriksdalsgatan 12,Hammarby Sjöstad,18.08270916,59.30255081,81,3,2,4354,2017-10-13,5500000,5500000,1072.35077874335
Bergsgatan 49,Kungsholmen,18.03761959,59.33060098,77,3,3,3523,2017-10-13,6250000,6500000,1070.18281052332
Igeldammsgatan 34,Kungsholmen,18.02314294,59.33819897,37,2,1,1878,2017-10-13,2895000,3100000,1069.46084183847
Karlbergsvägen 23,Vasastan,18.04237247,59.34247446,123,4,1,4224,2017-10-13,9995000,10550000,1070.67902749878
Igeldammsgatan 20,Kungsholmen,18.02477717,59.33699238,37,1.5,2,1452,2017-10-13,2850000,3250000,1069.53606558749
Bastuhagsvägen 57,Stureby,18.04864883,59.27543072,84,4,1,4705,2017-10-13,4195000,4750000,1069.84143331227
Storsjövägen 58,Årsta,18.03863,59.29772,57,2,0,3890,2017-10-13,1975000,2600000,1069.6496309236
Vinodlargatan 6,Liljeholmen,18.03141583,59.30696265,73,3,3,4374,2017-10-13,4995000,5200000,1069.38850515643
Maria Prästgårdsgata 8,Södermalm,18.0661,59.31647,32,1,1,2032,2017-10-13,2550000,2850000,1071.617278667
Filipstadsbacken 26,Farsta,18.10601,59.23887,58.5,2,2,3910,2017-10-13,1990000,2410000,1072.5795726087
Karlsviksgatan 17,Kungsholmen,18.02908958,59.33102784,66,3,1,3320,2017-10-13,4995000,5210000,1069.68441580083
Burspråksvägen 2,Johanneshov,18.0858,59.2949,38,2,1,2445,2017-10-13,1995000,2600000,1072.39570242
Sågverksgatan 102,Enskede,18.0454,59.2808,46,2,2,3213,2017-10-13,1995000,2150000,1069.74574832
Spångavägen 40,Bromma,17.93657541,59.34196568,56,3,2,3870,2017-10-13,2295000,2510000,1064.39164239695
John Bergs Plan 2,Kungsholmen,18.02282621,59.33624999,48,2,1,1954,2017-10-13,3995000,3850000,1069.40692152288
Drakenbergsgatan 16,Hornstull,18.04010868,59.31572319,85,3,5,3940,2017-10-13,4995000,5480000,1070.0620927804
Alströmergatan 35,Kungsholmen,18.02965879,59.33538917,32,2,2,1758,2017-10-13,2875000,3090000,1069.79682090696
Lotta Svärds gränd 9,Fruängen,17.95300763,59.28714212,67,2,2,3977,2017-10-13,2795000,3235000,1064.38251484125
Tomtebogatan 23A,Vasastan,18.03173557,59.34105499,28,1,0,969,2017-10-13,2495000,3150000,1070.02221202451
Sandfjärdsgatan 21,Årsta,18.04546708,59.29515726,57.5,2,2,3262,2017-10-13,2595000,2930000,1070.00880833875
Lofotengatan 4,Husby,17.92681125,59.41156891,76,3,3,5094,2017-10-13,1995000,1995000,1065.05998191594
Östhammarsgatan 69,Östermalm,18.11159492,59.3436014,39,1,0,2231,2017-10-13,2495000,2850000,1074.80726965075
Wargentinsgatan 4,Kungsholmen,18.04089368,59.3324842,20,1,4,1508,2017-10-13,1995000,2610000,1070.41103922248
Ekholmsvägen 301,Skärholmen,17.9051884,59.28069331,54,2,5,2621,2017-10-13,2190000,2450000,1061.43198219817
Kungssätravägen 58,Sätra,17.91878403,59.28587458,48,1,2,2780,2017-10-13,1790000,2240000,1062.33078262869
Grevgatan 39,Östermalm,18.0858107,59.3356248,34,1,0,1237,2017-10-13,3700000,3700000,1073.13287789903
Södermannagatan 41C,Katarina,18.08289406,59.31010656,24,1,2.5,1145,2017-10-13,2295000,2200000,1072.49837361179
Ålgrytevägen 29,Skärholmen,17.94165335,59.29850392,49,2,4,2978,2017-10-12,2000000,2575000,1063.91320150626
Tomtebogatan 9A,Vasastan,18.03489447,59.3412107,69.3,3,1,2675,2017-10-12,5750000,7150000,1070.21247269654
Timmermansgatan 33,Södermalm-Maria,18.06151784,59.31565087,51,2,3,3358,2017-10-12,3995000,4325000,1071.33068637972
Bildhuggarvägen 4,Johanneshov,18.07694785,59.29547416,41,2,3.5,2420,2017-10-12,2495000,2850000,1071.88119413134
Götalandsvägen 211B,Älvsjö,18.01285744,59.28007507,66,2,1,3981,2017-10-12,2695000,2695000,1067.80354126841
Pokalvägen 5,Södermalm,18.0212152,59.31860839,40,1,6,2416,2017-10-12,2795000,3225000,1068.99340716072
Grevgatan 53,Östermalm,18.08683276,59.33697597,36,2,1,708,2017-10-12,3895000,3910000,1073.21796085353
Spångavägen 42A,Bromma,17.9363,59.3423,42,2,3,2243,2017-10-12,2190000,2360000,1064.38129549
Skridskovägen 9E,Västertorp,17.97562059,59.29249633,70,2,0,4243,2017-10-12,3295000,3295000,1065.81941786205
Hornsgatan 29F,Södermalm,18.0640018,59.31853175,55,2,0,2308,2017-10-12,4495000,4780000,1071.53006430536
Åkerhielmsgatan 24,Ulvsunda,17.97031375,59.33772525,65,2,2,4162,2017-10-12,2995000,3400000,1066.3175399538
Marieviksgatan 38,Liljeholmskajen,18.02817044,59.30881552,64,2,3,3781,2017-10-12,3795000,4220000,1069.22943478908
Fredrikslundsvägen 47,Abrahamsberg,17.93754941,59.33378442,74,3,3,4365,2017-10-12,3995000,4550000,1064.30268971604
Varvsgatan 1B,Södermalm,18.03925,59.31977,72,3,5,3175,2017-10-12,6295000,7000000,1070.0841609725
Blommensbergsvägen 132,Hägersten,18.00450707,59.31007013,64.5,2,2,4434,2017-10-12,2995000,3425000,1067.84857697778
Dukvägen 40,Bromma,17.9475,59.33945,51,2,2,2722,2017-10-12,2695000,3020000,1064.994778875
Mariehamnsgatan 28,Akalla,17.91141,59.41436,85,3,3,4864,2017-10-12,2100000,2110000,1064.1949618476
Fjugestagränd 1,Ormkärr,18.00660753,59.26347455,58,2,1,2846,2017-10-12,1875000,2175000,1067.13412708599
Pontonjärgatan 4,Kungsholmen,18.03829551,59.32848302,30,1,3,2081,2017-10-12,2650000,2970000,1070.18470887478
Margaretha Krooks gata 6,Örnsberg,17.98516216,59.3071984,89,4,4,4711,2017-10-12,5695000,6000000,1066.64958047929
Typografvägen 8,Hägersten-Liljeholmen,17.98945539,59.3047575,42,2,3,2484,2017-10-12,2495000,2910000,1066.86028946102
Hövdingagatan 1,Hägersten-Liljeholmen,17.99746451,59.30652507,56,2.5,1,3372,2017-10-12,3495000,3650000,1067.36708015875
Pokalvägen 6,Södermalm,18.02277915,59.31853371,76.5,3,4,4108,2017-10-12,6295000,7250000,1069.08483255716
Upplandsgatan 71,Vasastan,18.04658251,59.3444105,39,2,0,1368,2017-10-12,2995000,3510000,1070.96380059556
Rödabergsgatan 5,Vasastan,18.03684529,59.3441824,50,2,2,2478,2017-10-12,4435000,4435000,1070.38183681034
Lustgårdsgatan 3,Kungsholmen,18.01327759,59.33590919,56,3,1,3119,2017-10-12,3850000,4200000,1068.8342032945
Ågesta Broväg 40,Farsta Strand,18.10276508,59.24091276,47.5,2,2,3589,2017-10-12,1995000,2350000,1072.42432681905
Storforsplan 5,Farsta stadsdelsområde,18.09115555,59.24170525,111,5,2,6107,2017-10-12,3495000,3710000,1071.750904725
Lundagatan 42A,Södermalm,18.04480884,59.31853417,40.5,2,2,2062,2017-10-12,2995000,3470000,1070.39160976666
Broddgränd 13,Västertorp,17.96935877,59.28980783,73.5,3,2,3583,2017-10-12,3400000,3400000,1065.39982830163
Kallforsvägen 45,Bandhagen,18.04639,59.27255,67,3,2,3722,2017-10-12,2935000,2935000,1069.6555535945
Lidnersplan 8,Kristineberg,17.99849153,59.33601296,27,2,3,1840,2017-10-12,2495000,2950000,1067.95872668453
Norrbackagatan 24,Vasastan,18.03055,59.33966064,115,4,5,3991,2017-10-12,8995000,9725000,1069.92671815255
Upplandsgatan 67A,Högst,18.04644144,59.34399148,75,3,3,3329,2017-10-12,6995000,7800000,1070.94786705968
Karlsviksgatan 16,Kungsholmen,18.0292,59.3308,53,2,3,1225,2017-10-12,4395000,5025000,1069.68685936
Bandhagsplan 11,Bandhagen,18.05034399,59.26964726,43.5,1,2,2609,2017-10-12,1995000,2430000,1069.83752120896
Klubbacken 34,Hägersten-Liljeholmen,17.9671669,59.30609412,40,1.5,3,1610,2017-10-12,2195000,2675000,1065.56249124115
Telefonvägen 33,Hägersten-Liljeholmen,18.00132066,59.29921861,82,3,3,4494,2017-10-12,3995000,4450000,1067.46424908605
Observatoriegatan 16,Vasastan,18.04884195,59.34017669,125,4,3,5471,2017-10-12,11750000,12200000,1071.02147036288
Lm Ericssons väg 2,Telefonplan,17.9943892,59.30087016,60,2,4,3785,2017-10-12,3695000,4200000,1067.08293755771
Hammarbyterrassen 10,Hammarby Sjöstad,18.08854938,59.30386775,50,2,0,2709,2017-10-12,3895000,3495000,1072.72094022086
Ekensbergsvägen 5,Gröndal,17.99090889,59.31410639,68,3,2,2047,2017-10-12,3995000,4450000,1067.11468395426
Kellgrensgatan 16,Kungsholmen,18.0141636,59.3360199,84,3,5,4118,2017-10-12,5495000,6050000,1068.88876985146
Vikingagatan 20A,Vasastan Birkastan,18.03346753,59.34106846,58,2,3,1586,2017-10-12,4775000,5100000,1070.12523126892
Årstavägen 71,Årsta,18.04866,59.29757,57,3,1,3308,2017-10-12,2795000,2900000,1070.2416797562
Skeppargatan 100,Gärdet,18.0907232,59.34301132,37,2,3.5,1917,2017-10-12,3290000,3550000,1073.55799164459
Snöskostigen 5,Västertorp,17.97272086,59.29229855,86,4,1,4297,2017-10-12,4395000,4910000,1065.64393098693
Lindevägen 40,Enskede Gård,18.07680621,59.28702657,74.5,3,2,4707,2017-10-12,3395000,3790000,1071.72009007301
Kvickensvägen 16,Farsta,18.09542579,59.25144473,136,4,0,4845,2017-10-12,5200000,5750000,1072.180121062
Kungsbro Strand 25,Kungsholmen,18.04989623,59.33112316,44,2,1,3022,2017-10-12,3450000,3450000,1070.92061624735
Skebokvarnsvägen 121,Bandhagen,18.03752303,59.2676516,27,1,3,1548,2017-10-12,1595000,2010000,1069.04163066902
Borensvägen 41,Årsta,18.05435,59.29656,58,3,3,3852,2017-10-12,2875000,2950000,1070.560848036
Slåttervallsgatan 1,Norra Djurgårdsstaden,18.08933,59.35427,83,3,2,4756,2017-10-12,5995000,5700000,1073.6789769391
Fridhemsgatan 12,Kungsholmen,18.02763242,59.33071752,52,2,1,2273,2017-10-12,3995000,4600000,1069.59236666541
Vänskapsvägen 40,Essingeöarna,17.98765353,59.32141644,33,2,0.5,2078,2017-10-12,2650000,2700000,1067.05308583157
Siljansvägen 79,Årsta,18.03944349,59.2990806,77,3,3,5034,2017-10-12,3925000,4100000,1069.72241349266
Heleneborgsgatan 27A,Södermalm,18.03281307,59.31871788,49,2,0,2435,2017-10-12,3975000,4250000,1069.68335108211
Multrågatan 11,Vällingby,17.88736928,59.35669375,103,4,2,5187,2017-10-12,3250000,3730000,1061.73510034612
Bergslagsvägen 35,Bromma,17.93412136,59.3405123,38,1,2,2704,2017-10-12,2195000,2560000,1064.21994915277
Olaus Magnus väg 56,Hammarbyhöjden,18.09614747,59.29668258,37,2,2,2909,2017-10-12,2450000,2730000,1073.04151244946
Liljeholmstorget 10,Liljeholmen,18.02470683,59.30983549,51,2,1,2522,2017-10-12,3495000,3775000,1069.04239684278
Sankt Eriksgatan 85B,Vasastan,18.03703264,59.34087463,38,1,2,1150,2017-10-12,3295000,3620000,1070.33329258746
Kocksgatan 51,Södermalm,18.08483979,59.31501424,48,2,3.5,3538,2017-10-12,4250000,4200000,1072.70252967197
Sjöbjörnsvägen 1,Gröndal,18.00973465,59.31589135,78,3,1,4625,2017-10-12,4300000,4500000,1068.26346374173
Karlavägen 42,Östermalm,18.07924157,59.33958981,53,2,4,2144,2017-10-12,5750000,6400000,1072.8147788397
Kratsbodavägen 50C,Mariehäll,17.95442879,59.36141281,36,2,4,2188,2017-10-12,2750000,2625000,1065.80025917094
Ruddammsvägen 4,Östermalm,18.06431597,59.34961811,68,3,6,3491,2017-10-12,5975000,5975000,1072.11025423787
Ringvägen 114,Södermalm,18.0800022,59.30798456,41,1.5,2,1922,2017-10-12,2850000,3350000,1072.28849132237
Geijersvägen 8,Kungsholmen,18.01427686,59.33223993,17,1,2,1096,2017-10-12,1950000,2485000,1068.82739682297
Svartviksslingan 6,Bromma,17.98441928,59.33710599,77.5,3,0,4966,2017-10-12,3695000,3695000,1067.14339298596
Sparbanksvägen 12,Hägerstensåsen,17.98245192,59.29832467,24,1,2,1579,2017-10-12,1795000,2275000,1066.32927231482
Rödabergsbrinken 14,Vasastan,18.03739042,59.34488578,43.5,1.5,0,2537,2017-10-12,3600000,3100000,1070.42687424417
Rehnsgatan 15,Vasastan,18.05926227,59.34261147,55,2,6,2420,2017-10-12,5290000,6500000,1071.68378432344
Sysslomansgatan 14,Kungsholmen,18.02541018,59.33136714,35,1.5,6,763,2017-10-12,2800000,3220000,1069.47222923867
Kungsklippan 14,Kungsholmen,18.04816604,59.33040944,30,1,3,2309,2017-10-12,2495000,3000000,1070.8050807943
John Ericssonsgatan 16,Kungsholmen,18.03808983,59.32928733,74,3,2,4849,2017-10-12,6500000,5995000,1070.18701440842
Råcksta Gårdsväg 21,Vällingby Parkstad,17.88333612,59.35573433,47,2,1,3141,2017-10-12,1995000,2200000,1061.47854767281
Bränningevägen 7,Årsta,18.04915764,59.29841639,85,4,1,4498,2017-10-12,3995000,4435000,1070.28646522547
Rättar Vigs väg 89,Vällingby Nälsta,17.88673477,59.37132224,116,5,0,4872,2017-10-12,3495000,4500000,1061.95909385108
Karlbergsvägen 76,Vasastan,18.03024888,59.34327317,61,2.5,5,2757,2017-10-12,4295000,4400000,1069.97398460893
Rödabergsgatan 12,Röda Bergen,18.03435266,59.34421907,41,2,2,1727,2017-10-12,4150000,4000000,1070.23457504068
Möregatan 7,Södermalm,18.07028404,59.31178096,30,2,6,2121,2017-10-12,2695000,3000000,1071.78072886546
Ringvägen 114,Södermalm,18.0800022,59.30798456,41,2,3,1922,2017-10-12,3395000,3650000,1072.28849132237
Vinggatan 24,Skarpnäck,18.12467337,59.27039286,63.5,2,1,4006,2017-10-12,1995000,2550000,1074.25651109908
Dartanjangs gata 60,Bromma,17.94605099,59.36597388,70,3,4,4299,2017-10-12,3495000,3620000,1065.38479432149
Harpsundsvägen 107,Högdalen,18.04330051,59.26160908,28.5,1,3,1670,2017-10-12,1750000,2240000,1069.27502133659
Vibyholmsvägen 13,Älvsjö Liseberg,18.03138614,59.28035274,69,3,3,3590,2017-10-12,2695000,2950000,1068.90693077035
Skebokvarnsvägen 245,Högdalen,18.03486524,59.26458322,60,2,2,3268,2017-10-12,2095000,2350000,1068.82877187747
Beckomberga Ängsväg 6,Bromma,17.89943525,59.35534708,89,4,1,4866,2017-10-12,3995000,4000000,1062.42719179974
Dartanjangs gata 70,Bromma,17.94672489,59.36642217,105,5,3,5495,2017-10-12,4695000,4695000,1065.43284638859
Vittangigatan 20,Vällingby Centrum,17.87162278,59.36179288,34,1,1,2071,2017-10-12,1695000,1900000,1060.89156989585
Kallforsvägen 20,Bandhagen,18.04560291,59.27131333,48.5,2,0,2774,2017-10-12,2090000,2530000,1069.58658430737
Cedergrensvägen 25,Midsommarkransen,18.00096399,59.3019673,70,3,2,3586,2017-10-12,3895000,3900000,1067.49257790346
Dalagatan 60,Vasastan,18.04436153,59.34325434,99,4,4,3871,2017-10-12,9750000,11250000,1070.8111356777
Konstgjutarvägen 20,Globen,18.07767894,59.29459035,54,2,3,2681,2017-10-12,2895000,3660000,1071.90856722612
Fleminggatan 101,Kungsholmen,18.02915393,59.33478835,80,3,1,3781,2017-10-12,6795000,7000000,1069.75603256612
Dagsverksvägen 231,Spånga,17.90443097,59.37781806,85.5,4,1,4643,2017-10-12,2395000,2550000,1063.12604460449
Strålgatan 23,Lilla Essingen,18.00572799,59.32407585,31,1,1,2238,2017-10-12,1995000,2520000,1068.17317301323
Melongatan 18,Hässelby Strand,17.83497334,59.36532878,47.5,1.5,6,3236,2017-10-12,1850000,2300000,1058.77905611163
Bäckvägen 50,Midsommarkransen,17.99868,59.30327,52,2,1,2925,2017-10-12,2495000,3000000,1067.3805796836
Annebodavägen 60,Liseberg,18.0279,59.28749,82,4,1,5798,2017-10-12,2650000,2650000,1068.828940971
Vänersborgsvägen 22,Johanneshov,18.10643,59.29271,57,3,2,3764,2017-10-12,2895000,2895000,1073.5793031253
Pastellvägen 17,Johanneshov,18.0879643,59.29115087,24,1,4,1358,2017-10-12,1995000,2410000,1072.45622024247
Eklångsvägen 42,Årsta,18.05613,59.29787,36.8,1.5,1,2442,2017-10-12,2075000,2540000,1070.6900494431
Katarina Bangata 38,Södermalm,18.08024,59.31112,79,3.5,3,3331,2017-10-12,5995000,6650000,1072.3592842688
Älvsåkersgränd 32,Älvsjö,18.0303,59.2884,104,4,3,5693,2017-10-12,2495000,3360000,1068.98763852
Västgötagatan 18,Södermalm,18.0715,59.3122,61,2.5,3,2387,2017-10-12,4495000,4600000,1071.8604223
Wittstocksgatan 19,Östermalm,18.09704799,59.33826201,41,2,5,2310,2017-10-12,3895000,4600000,1073.84737523816
Blekingegatan 31A,Södermalm,18.07190738,59.31020675,39,2,1,2280,2017-10-12,2995000,3880000,1071.84856307465
Västmannagatan 27A,Vasastan,18.05039264,59.33874163,49,2,1,1355,2017-10-12,4400000,5210000,1071.08758518501
Tussmötevägen 207D,Stureby,18.06127925,59.27916062,115,4,0,4514,2017-10-11,5900000,6500000,1070.65747366342
Jakobsdalsvägen 4,Örnsberg,17.98745155,59.30617893,66,3,4,4147,2017-10-11,3995000,4500000,1066.76702011901
Atlasgatan 13,Vasastan,18.03757023,59.33835117,36,1,0,1460,2017-10-11,3095000,3095000,1070.31967656128
Banérgatan 50,Östermalm,18.0963901,59.3385902,75,3,2,3925,2017-10-11,6950000,7075000,1073.81427624324
Pastellvägen 26,Skarpnäcks stadsdelsområde,18.0874287,59.29101658,47,2,1,2227,2017-10-11,2500000,2825000,1072.42203494127
Ålstensgatan 20,Bromma,17.95584046,59.32298475,58,2,0,3616,2017-10-11,3495000,4050000,1065.19404978201
Skridskovägen 9E,Hägersten-Liljeholmen,17.97562059,59.29249633,102,4.5,1,5572,2017-10-11,4795000,5400000,1065.81941786205
Fredrikslundsvägen 14,Bromma,17.9428196,59.333764,71,3,1,4415,2017-10-11,3495000,3600000,1064.61502364097
Hanna Rydhs gata 38,Fruängen-Hägersten,17.97524214,59.28515897,44.5,2,2,2720,2017-10-11,1995000,2450000,1065.66508779414
Lundagatan 44D,Södermalm,18.04465771,59.31907373,40.5,2,3,2102,2017-10-11,4250000,4510000,1070.3923811321
Helgalunden 17,Södermalm,18.0717,59.3097,31,1,1,1889,2017-10-11,2395000,2850600,1071.82710549
Stopvägen 105,Åkeslund,17.94102484,59.33735526,72,3,1,4098,2017-10-11,3795000,4400000,1064.57296465956
Erik Dahlbergsgatan 51,Östermalm,18.09185002,59.34592338,94,4,1,3997,2017-10-11,7850000,7850000,1073.67754508937
Ringvägen 151B,Södermalm,18.0837214,59.30940993,26,1,4,1502,2017-10-11,2295000,3020000,1072.53484557251
Sankt Eriksplan 4,Vasastan,18.03786888,59.33980638,55,2,2,1051,2017-10-11,4895000,6000000,1070.36364684703
Tegnérgatan 49A,Vasastan,18.05296236,59.33745856,28,1,1,1006,2017-10-11,2495000,3000000,1071.21690592174
Hägerstensvägen 157B,Hägersten,17.99696157,59.3052585,67,4,4,3904,2017-10-11,3500000,3830000,1067.31445812342
Riddargatan 64,Östermalm,18.08798723,59.33237756,62,2,0,1973,2017-10-11,5850000,5900000,1073.20328763082
Styrmansgatan 23,Östermalm,18.08608101,59.33382966,80.4,3,1.5,3785,2017-10-11,8450000,9800000,1073.1164498643
De Geersgatan 14,Gärdet,18.09650298,59.34330541,55,2,5,2382,2017-10-11,5395000,5450000,1073.90630319512
Lumagatan 21,Hammarby Sjöstad,18.09299389,59.30567302,101,4,8,4650,2017-10-11,7995000,8600000,1073.0171795932
Melongatan 16,Hässelby,17.83513491,59.36518521,92,4,1,4687,2017-10-11,2775000,3210000,1058.78608717749
Hökens gata 7,Södermalm,18.07292819,59.31820875,35,1,3,2176,2017-10-11,3495000,3320000,1072.05372709818
Observatoriegatan 23,Vasastan,18.04794272,59.33970862,93,3,4,3249,2017-10-11,8450000,10150000,1070.95966219525
Tomtebogatan 15,Vasastan,18.03392015,59.34092075,69,3,3,2626,2017-10-11,5950000,6950000,1070.14942643298
